Afghan,Afghanistan
Albanian,Albania
Algerian,Algeria
American,United_States
Andorran,Andorra
Angolan,Angola
Antiguans,Antigua
Antiguan,Antigua
Argentinean,Argentina
Argentinian,Argentina
Argentine,Argentina
Armenian,Armenia
Australian,Australia
Austrian,Austria
Assyrian,Assyria
Azerbaijani,Azerbaijan
Bahamian,Bahamas
Bahraini,Bahrain
Bangladeshi,Bangladesh
Bangladesh,Bangladesh
Barbadian,Barbados
Barbudans,Barbuda
Batswana,Botswana
Botswana,Botswana
Belarusian,Belarusia
Belgian,Belgium
Belizean,Belize
Beninese,Benin
Bhutanese,Bhutan
Bohemian,Boheme
Bolivian,BOlivia
Bosnian,Bosnia
Brazilian,Brazil
British,United_Kingdom
Bruneian,Brunei
Bulgarian,Bulgaria
Burkinabe,Burkina_Faso
Burkinabé,Burkina_Faso
Burmese,Burma
Burundian,Brundi
Byzantine,Byzantium
Cambodian,Cambodia
Cameroonian,Cameroon
Cameroon,Cameroon
Canadian,Canada
Cape_Verdean,Cape_Verde
Catalan,Catalonia
Caribbean,Caribbean_Islands
Central_African,Central_Africa
Chadian,Chad
Chilean,Chile
Chinese,China
Colombian,Colombia
Comoran,Comoros
Congolese,Congo
Costa_Rican,Costa_Rica
Croatian,Croatia
Cuban,Cuba
Curaçaoan,Curacao_Island
Cypriot,Cyprus
Czech,Czechia
Danish,Denmark
Djibouti,Djibouti
Dominican,Dominican_Republic
Dutch,Netherland
Dutchman,Netherland
Dutchwoman,Netherland
East_Timorese,East_Timor
Ecuadorean,Ecuador
Egyptian,Egypt
Emirian,United_Arab_Emirates
Emirati,United_Arab_Emirates
English,England
Equatorial_Guinean,Equatorial_Guine
Eritrean,Eritrea
Estonian,Estonia
Ethiopian,Ethiopia
Fijian,Fiji
Filipino,Filipines
Finnish,Finland
Flemish,Netherland
French,France
Gabonese,Gabon
Gambian,Gambia
Georgian,Georgia
German,Germany
Gibraltarian,Gibaltar
Ghanaian,Ghana
Greek,Greece
Grenadian,Grenada
Guatemalan,Guetamala
Guinea_Bissauan,Guinea
Guinean,Guinea
Guyanese,Guyan
Haitian,Haiti
Herzegovinian,Herzegovia
Hong_Kong,Hong_Kong
Honduran,Honduras
Hungarian,Hungary
Icelander,Iceland
Indian,India
Indonesian,Indonesia
Iranian,Iran
Iraqi,Iraq
Irish,Ireland
Israeli,Israel
Icelandic,Iceland
Italian,Italian
Ivorian,Ivory_Coast
Jamaican,Jamaica
Japanese,Japan
Jordanian,Jordan
Kazakhstani,Kazakhstan
Kazakh,Kazakhstan
Kenyan,Kenya
Korean,Korea
Kuwaiti,Kuwait
Kurdish,Kurdish
Kyrgyz,Kyrgyzstan
Laotian,Laota
Latvian,Latvia
Lebanese,Lebanese
Liberian,Liberia
Libyan,Libya
Liechtensteiner,Liechtenstein
Lithuanian,Lithuania
Luxembourger,Luxembourg
Macedonian,Macedonia
Malagasy,Malaga
Malawian,Malawi
Malaysian,Malaysia
Maldivan,Maldivs
Maldivian,Maldivs
Malian,Mali
Maltese,Malta
Marshallese,Marshall_Islands
Mauritanian,Mauritan
Mauritian,Mauritan
Mexican,Mexico
Micronesian,Micronesia
Moldovan,Moldova
Monacan,Monaco
Mongolian,Mongolia
Moroccan,Morocca
Motswana,Motswana
Mozambican,Mozambic
Namibian,Namibia
Nauruan,Nauru
Nepalese,Nepal
Netherlander,Netherland
New_Zealander,New_Zealand
New_Zealand,New_Zealand
Nicaraguan,Nicaragua
Nigerian,Nigeria
Nigerien,Nigeria
North_Korean,North_Korea
Northern_Irish,Northern_Ireland
Norwegian,Norway
Omani,Oman
Ottoman,Ottoman_Empire
Pakistani,Pakistan
Panamanian,Panama
Papua_New_Guinean,Papua_New_Guinea
Paraguayan,Paraguay
Peruvian,Peru
Polish,Poland
Portuguese,Portugal
Prussian,Germany
Qatari,Qatar
Roman,Roman_Empire
Romanian,Romania
Russian,Russia
Rwandan,Rwanda
Saint_Lucian,Saint_Lucia
Salvadoran,El_Salvador
Samoan,Samoa
San_Marinese,San_Marino
Saudi,Saudi_Arabia
Scottish,Scotland
Senegalese,Senegal
Serbian,Serbia
Sierra_Leonean,Sierra_Leon
Singaporean,Singapore
Slovak,Slovakia
Slovakian,Slovakia
Slovenian,Slovenia
Somali,Somali
Somalian,Somali
South_African,South_Africa
South_Korean,South_Korea
Spanish,Spain
Sri_Lankan,Sri_Lanka
Sudanese,Sudan
Surinamer,Suriname
Swazi,Swaziland
Swedish,Sweden
Swiss,Switzerland
Syrian,Syria
Taiwanese,Taiwan
Tajik,Tajikstan
Tanzanian,Tanzania
Thai,Thailand
Togolese,Togo
Tongan,Tonga
Trinidadian,Trinidad
Tunisian,Tunisia
Turkish,Turkey
Tuvaluan,Tuva
Ugandan,Uganda
Ukrainian,Ukraine
Uruguayan,Uruguay
Uzbekistani,Uzbekistan
Venezuelan,Venezuela
Vietnamese,Vietnam
Vincentian,Vincenti
Welsh,Wales
Yemenite,Yemen
Zambian,Zambia
Zimbabwean,Zimbabwe
